GEOID,scenario_order,scenario,annual_rate,income_threshold,unaffordable_hh,total_hh_weighted,sum_bracket_hh,mhi,pct_unaffordable,mhi_pct_spent,mhi_unaffordable
06029003207,5,FY 29/30,775,31000,169.00000000000037,1029.0000000000023,1029.0000000000023,86185,16.42371234207969,0.8992284040146197,FALSE
06029003207,6,FY 30/31,875,35000,169.00000000000037,1029.0000000000023,1029.0000000000023,86185,16.42371234207969,1.015257875500377,FALSE
06029003126,1,Current,247.13,9885.199999999999,125.73796869585682,1333.2031349896533,1333.2031349896536,52013,9.431268603852526,0.47513121719570106,FALSE
06029003126,2,FY 26/27,475,19000,224.60406070849155,1333.2031349896533,1333.2031349896536,52013,16.846949636840947,0.9132332301539999,FALSE
06029003126,3,FY 27/28,575,23000,258.8643577583579,1333.2031349896533,1333.2031349896536,52013,19.41672285074299,1.105492857554842,FALSE
06029003126,4,FY 28/29,675,27000,312.4351237824434,1333.2031349896533,1333.2031349896536,52013,23.434922674770643,1.2977524849556843,FALSE
06029003126,5,FY 29/30,775,31000,381.40903776005564,1333.2031349896533,1333.2031349896536,52013,28.608471413699128,1.4900121123565262,FALSE
06029003126,6,FY 30/31,875,35000,425.69729731151114,1333.2031349896533,1333.2031349896536,52013,31.930415263748596,1.6822717397573683,FALSE
06029002502,1,Current,247.13,9885.199999999999,49.430943094300915,583.9999999998994,583.9999999998995,43360,8.464202584642024,0.56994926199262,FALSE
06029002502,2,FY 26/27,475,19000,98.99999999998295,583.9999999998994,583.9999999998995,43360,16.952054794520546,1.0954797047970481,FALSE
06029002502,3,FY 27/28,575,23000,112.80276055209099,583.9999999998994,583.9999999998995,43360,19.31554119042986,1.3261070110701108,FALSE
06029002502,4,FY 28/29,675,27000,142.80416083214183,583.9999999998994,583.9999999998995,43360,24.45276726578192,1.5567343173431736,FALSE
06029002502,5,FY 29/30,775,31000,181.40148029602798,583.9999999998994,583.9999999998995,43360,31.061897310969037,1.7873616236162362,FALSE
06029002502,6,FY 30/31,875,35000,210.99999999996368,583.9999999998994,583.9999999998995,43360,36.13013698630137,2.017988929889299,FALSE
06029002824,1,Current,247.13,9885.199999999999,54.37403740372626,984.9999999997445,984.9999999997447,43013,5.520206843019325,0.5745472299072374,FALSE
06029002824,2,FY 26/27,475,19000,196.60512102415387,984.9999999997445,984.9999999997447,43013,19.959910763878664,1.1043172994211052,FALSE
06029002824,3,FY 27/28,575,23000,233.00600120017964,984.9999999997445,984.9999999997447,43013,23.655431593933,1.3368051519308115,FALSE
06029002824,4,FY 28/29,675,27000,283.8061612321729,984.9999999997445,984.9999999997447,43013,28.812808246928572,1.5692930044405178,FALSE
06029002824,5,FY 29/30,775,31000,337.40148029597174,984.9999999997445,984.9999999997447,43013,34.253957390462865,1.8017808569502243,FALSE
06029002824,6,FY 30/31,875,35000,366.99999999990484,984.9999999997445,984.9999999997447,43013,37.25888324873096,2.0342687094599308,FALSE
06029002822,1,Current,247.13,9885.199999999999,11.86342634263392,1120.9999999999677,1120.9999999999677,126589,1.0582895934553311,0.19522233369408085,FALSE
06029002822,2,FY 26/27,475,19000,11.999999999999654,1120.9999999999677,1120.9999999999677,126589,1.070472792149866,0.37523007528300245,FALSE
06029002822,3,FY 27/28,575,23000,11.999999999999654,1120.9999999999677,1120.9999999999677,126589,1.070472792149866,0.4542258806057398,FALSE
06029002822,4,FY 28/29,675,27000,44.406481296257965,1120.9999999999677,1120.9999999999677,126589,3.9613275018964536,0.5332216859284772,FALSE
06029002822,5,FY 29/30,775,31000,105.80256051209936,1120.9999999999677,1120.9999999999677,126589,9.438230197332953,0.6122174912512146,FALSE
06029002822,6,FY 30/31,875,35000,156.99999999999545,1120.9999999999677,1120.9999999999677,126589,14.005352363960746,0.6912132965739519,FALSE
06029003134,1,Current,247.13,9885.199999999999,22.7382338233879,950.0000000002325,950.0000000002325,91087,2.3934982971981404,0.27131204233315404,FALSE
06029003134,2,FY 26/27,475,19000,23.000000000005627,950.0000000002325,950.0000000002325,91087,2.4210526315789473,0.5214794646876063,FALSE
06029003134,3,FY 27/28,575,23000,23.000000000005627,950.0000000002325,950.0000000002325,91087,2.4210526315789473,0.631264615148155,FALSE
06029003134,4,FY 28/29,675,27000,29.001200240055105,950.0000000002325,950.0000000002325,91087,3.0527579200050536,0.7410497656087037,FALSE
06029003134,5,FY 29/30,775,31000,38.000000000009294,950.0000000002325,950.0000000002325,91087,3.9999999999999996,0.8508349160692525,FALSE
06029003134,6,FY 30/31,875,35000,38.000000000009294,950.0000000002325,950.0000000002325,91087,3.9999999999999996,0.9606200665298011,FALSE
06029003808,1,Current,247.13,9885.199999999999,97.87326732674018,1577.0000000001212,1577.0000000001212,89978,6.206294694149186,0.27465602702882924,FALSE
06029003808,2,FY 26/27,475,19000,106.00000000000814,1577.0000000001212,1577.0000000001212,89978,6.721623335447051,0.5279068216675187,FALSE
06029003808,3,FY 27/28,575,23000,118.60252050410993,1577.0000000001212,1577.0000000001212,89978,7.520768579841524,0.6390450999133122,FALSE
06029003808,4,FY 28/29,675,27000,130.2006401280356,1577.0000000001212,1577.0000000001212,89978,8.256223216742269,0.7501833781591055,FALSE
06029003808,5,FY 29/30,775,31000,137.40048009602975,1577.0000000001212,1577.0000000001212,89978,8.712776163349346,0.861321656404899,FALSE
06029003808,6,FY 30/31,875,35000,147.00000000001128,1577.0000000001212,1577.0000000001212,89978,9.32149651236525,0.9724599346506925,FALSE
06029002815,1,Current,247.13,9885.199999999999,62.282988298831334,1512.0000000000352,1512.0000000000352,48390,4.119245257859119,0.5107046910518702,FALSE
06029002815,2,FY 26/27,475,19000,248.81296259252431,1512.0000000000352,1512.0000000000352,48390,16.455883769346464,0.9816077702004546,FALSE
06029002815,3,FY 27/28,575,23000,330.413082616531,1512.0000000000352,1512.0000000000352,48390,21.852717104267416,1.1882620376110768,FALSE
06029002815,4,FY 28/29,675,27000,412.4076815363169,1512.0000000000352,1512.0000000000352,48390,27.275640313247834,1.3949163050216988,FALSE
06029002815,5,FY 29/30,775,31000,491.0042008401796,1512.0000000000352,1512.0000000000352,48390,32.47382280688942,1.6015705724323208,FALSE
06029002815,6,FY 30/31,875,35000,575.0000000000134,1512.0000000000352,1512.0000000000352,48390,38.02910052910053,1.8082248398429428,FALSE
06029002302,1,Current,247.13,9885.199999999999,10.828274363075243,471.52368754224113,471.5236875422412,46547,2.2964433493291256,0.5309257309815885,FALSE
06029002302,2,FY 26/27,475,19000,80.07285060433975,471.52368754224113,471.5236875422412,46547,16.981723870906585,1.020473929576557,FALSE
06029002302,3,FY 27/28,575,23000,102.52219658848283,471.52368754224113,471.5236875422412,46547,21.742745761695893,1.2353105463295164,FALSE
06029002302,4,FY 28/29,675,27000,122.89412274792612,471.52368754224113,471.5236875422412,46547,26.063191732423142,1.4501471630824758,FALSE
06029002302,5,FY 29/30,775,31000,145.2369849441871,471.52368754224113,471.5236875422412,46547,30.801630709417143,1.6649837798354352,FALSE
06029002302,6,FY 30/31,875,35000,167.5798471404481,471.52368754224113,471.5236875422412,46547,35.54006968641115,1.8798203965883946,FALSE
06029000902,1,Current,247.13,9885.199999999999,60.3057505750643,1104.0000000001246,1104.0000000001244,64940,5.462477407161006,0.38055127810286415,FALSE
06029000902,2,FY 26/27,475,19000,180.8025605121228,1104.0000000001246,1104.0000000001244,64940,16.377043524646957,0.7314444102248229,FALSE
06029000902,3,FY 27/28,575,23000,217.6067213442934,1104.0000000001246,1104.0000000001244,64940,19.71075374495189,0.8854327071142594,FALSE
06029000902,4,FY 28/29,675,27000,256.4032806561601,1104.0000000001246,1104.0000000001244,64940,23.224934842040874,1.0394210040036957,FALSE
06029000902,5,FY 29/30,775,31000,287.6013202640852,1104.0000000001246,1104.0000000001244,64940,26.050844226816377,1.1934093008931321,FALSE
06029000902,6,FY 30/31,875,35000,314.00000000003536,1104.0000000001246,1104.0000000001244,64940,28.442028985507246,1.3473975977825685,FALSE
06029003806,1,Current,247.13,9885.199999999999,3.8706883476537643,1879.319198228786,1879.3191982287858,126324,0.205962262892956,0.1956318672619613,FALSE
06029003806,2,FY 26/27,475,19000,29.364362472324782,1879.319198228786,1879.3191982287858,126324,1.5625000000000004,0.3760172255470061,FALSE
06029003806,3,FY 27/28,575,23000,34.65100504585795,1879.319198228786,1879.3191982287858,126324,1.8438062612522506,0.45517874671479686,FALSE
06029003806,4,FY 28/29,675,27000,53.446194204229144,1879.319198228786,1879.3191982287858,126324,2.8439125325065016,0.5343402678825876,FALSE
06029003806,5,FY 29/30,775,31000,89.46604807347859,1879.319198228786,1879.3191982287858,126324,4.760556277922252,0.6135017890503784,FALSE
