GEOID,NAME,overlap_frac,total_hh,hh_count,hh_count_weighted,total_hh_weighted,bracket_order,lower_bound,upper_bound,mhi,mhi_moe
06029003207,Census Tract 32.07; Kern County; California,1.0000000000000022,1029,71,71.00000000000016,1029.0000000000023,4,20000,24999,86185,9993
06029003207,Census Tract 32.07; Kern County; California,1.0000000000000022,1029,39,39.000000000000085,1029.0000000000023,5,25000,29999,86185,9993
06029003207,Census Tract 32.07; Kern County; California,1.0000000000000022,1029,0,0,1029.0000000000023,6,30000,34999,86185,9993
06029003207,Census Tract 32.07; Kern County; California,1.0000000000000022,1029,0,0,1029.0000000000023,7,35000,39999,86185,9993
06029003207,Census Tract 32.07; Kern County; California,1.0000000000000022,1029,0,0,1029.0000000000023,8,40000,44999,86185,9993
06029003207,Census Tract 32.07; Kern County; California,1.0000000000000022,1029,0,0,1029.0000000000023,9,45000,49999,86185,9993
06029003207,Census Tract 32.07; Kern County; California,1.0000000000000022,1029,93,93.00000000000021,1029.0000000000023,10,50000,59999,86185,9993
06029003207,Census Tract 32.07; Kern County; California,1.0000000000000022,1029,102,102.00000000000023,1029.0000000000023,11,60000,74999,86185,9993
06029003207,Census Tract 32.07; Kern County; California,1.0000000000000022,1029,340,340.00000000000074,1029.0000000000023,12,75000,99999,86185,9993
06029003207,Census Tract 32.07; Kern County; California,1.0000000000000022,1029,112,112.00000000000026,1029.0000000000023,13,100000,124999,86185,9993
06029003207,Census Tract 32.07; Kern County; California,1.0000000000000022,1029,36,36.00000000000008,1029.0000000000023,14,125000,149999,86185,9993
06029003207,Census Tract 32.07; Kern County; California,1.0000000000000022,1029,86,86.00000000000018,1029.0000000000023,15,150000,199999,86185,9993
06029003207,Census Tract 32.07; Kern County; California,1.0000000000000022,1029,91,91.0000000000002,1029.0000000000023,16,200000,NA,86185,9993
06029003126,Census Tract 31.26; Kern County; California,0.7481499074016013,1782,170,127.18548425827221,1333.2031349896533,1,0,9999,52013,14858
06029003126,Census Tract 31.26; Kern County; California,0.7481499074016013,1782,67,50.126043795907286,1333.2031349896533,2,10000,14999,52013,14858
06029003126,Census Tract 31.26; Kern County; California,0.7481499074016013,1782,79,59.1038426847265,1333.2031349896533,3,15000,19999,52013,14858
06029003126,Census Tract 31.26; Kern County; California,0.7481499074016013,1782,50,37.40749537008006,1333.2031349896533,4,20000,24999,52013,14858
06029003126,Census Tract 31.26; Kern County; California,0.7481499074016013,1782,129,96.51133805480656,1333.2031349896533,5,25000,29999,52013,14858
06029003126,Census Tract 31.26; Kern County; California,0.7481499074016013,1782,74,55.363093147718494,1333.2031349896533,6,30000,34999,52013,14858
06029003126,Census Tract 31.26; Kern County; California,0.7481499074016013,1782,72,53.86679333291529,1333.2031349896533,7,35000,39999,52013,14858
06029003126,Census Tract 31.26; Kern County; California,0.7481499074016013,1782,177,132.42253361008343,1333.2031349896533,8,40000,44999,52013,14858
06029003126,Census Tract 31.26; Kern County; California,0.7481499074016013,1782,11,8.229648981417613,1333.2031349896533,9,45000,49999,52013,14858
06029003126,Census Tract 31.26; Kern County; California,0.7481499074016013,1782,451,337.41560823812216,1333.2031349896533,10,50000,59999,52013,14858
06029003126,Census Tract 31.26; Kern County; California,0.7481499074016013,1782,300,224.44497222048037,1333.2031349896533,11,60000,74999,52013,14858
06029003126,Census Tract 31.26; Kern County; California,0.7481499074016013,1782,96,71.82239111055372,1333.2031349896533,12,75000,99999,52013,14858
06029003126,Census Tract 31.26; Kern County; California,0.7481499074016013,1782,99,74.06684083275853,1333.2031349896533,13,100000,124999,52013,14858
06029003126,Census Tract 31.26; Kern County; California,0.7481499074016013,1782,0,0,1333.2031349896533,14,125000,149999,52013,14858
06029003126,Census Tract 31.26; Kern County; California,0.7481499074016013,1782,7,5.2370493518112085,1333.2031349896533,15,150000,199999,52013,14858
06029003126,Census Tract 31.26; Kern County; California,0.7481499074016013,1782,0,0,1333.2031349896533,16,200000,NA,52013,14858
06029002502,Census Tract 25.02; Kern County; California,0.9999999999998278,584,50,49.99999999999139,583.9999999998994,1,0,9999,43360,8222
06029002502,Census Tract 25.02; Kern County; California,0.9999999999998278,584,49,48.999999999991566,583.9999999998994,2,10000,14999,43360,8222
06029002502,Census Tract 25.02; Kern County; California,0.9999999999998278,584,0,0,583.9999999998994,3,15000,19999,43360,8222
06029002502,Census Tract 25.02; Kern County; California,0.9999999999998278,584,23,22.99999999999604,583.9999999998994,4,20000,24999,43360,8222
06029002502,Census Tract 25.02; Kern County; California,0.9999999999998278,584,52,51.99999999999105,583.9999999998994,5,25000,29999,43360,8222
06029002502,Census Tract 25.02; Kern County; California,0.9999999999998278,584,37,36.999999999993626,583.9999999998994,6,30000,34999,43360,8222
06029002502,Census Tract 25.02; Kern County; California,0.9999999999998278,584,31,30.99999999999466,583.9999999998994,7,35000,39999,43360,8222
06029002502,Census Tract 25.02; Kern County; California,0.9999999999998278,584,111,110.99999999998089,583.9999999998994,8,40000,44999,43360,8222
06029002502,Census Tract 25.02; Kern County; California,0.9999999999998278,584,48,47.999999999991736,583.9999999998994,9,45000,49999,43360,8222
06029002502,Census Tract 25.02; Kern County; California,0.9999999999998278,584,51,50.99999999999122,583.9999999998994,10,50000,59999,43360,8222
06029002502,Census Tract 25.02; Kern County; California,0.9999999999998278,584,8,7.999999999998622,583.9999999998994,11,60000,74999,43360,8222
06029002502,Census Tract 25.02; Kern County; California,0.9999999999998278,584,50,49.99999999999139,583.9999999998994,12,75000,99999,43360,8222
06029002502,Census Tract 25.02; Kern County; California,0.9999999999998278,584,53,52.99999999999088,583.9999999998994,13,100000,124999,43360,8222
06029002502,Census Tract 25.02; Kern County; California,0.9999999999998278,584,0,0,583.9999999998994,14,125000,149999,43360,8222
06029002502,Census Tract 25.02; Kern County; California,0.9999999999998278,584,0,0,583.9999999998994,15,150000,199999,43360,8222
06029002502,Census Tract 25.02; Kern County; California,0.9999999999998278,584,21,20.999999999996383,583.9999999998994,16,200000,NA,43360,8222
06029002824,Census Tract 28.24; Kern County; California,0.9999999999997407,985,55,54.99999999998573,984.9999999997445,1,0,9999,43013,4883
06029002824,Census Tract 28.24; Kern County; California,0.9999999999997407,985,116,115.99999999996992,984.9999999997445,2,10000,14999,43013,4883
06029002824,Census Tract 28.24; Kern County; California,0.9999999999997407,985,32,31.9999999999917,984.9999999997445,3,15000,19999,43013,4883
06029002824,Census Tract 28.24; Kern County; California,0.9999999999997407,985,50,49.99999999998703,984.9999999997445,4,20000,24999,43013,4883
06029002824,Census Tract 28.24; Kern County; California,0.9999999999997407,985,77,76.99999999998003,984.9999999997445,5,25000,29999,43013,4883
06029002824,Census Tract 28.24; Kern County; California,0.9999999999997407,985,37,36.99999999999041,984.9999999997445,6,30000,34999,43013,4883
06029002824,Census Tract 28.24; Kern County; California,0.9999999999997407,985,70,69.99999999998184,984.9999999997445,7,35000,39999,43013,4883
06029002824,Census Tract 28.24; Kern County; California,0.9999999999997407,985,131,130.99999999996604,984.9999999997445,8,40000,44999,43013,4883
06029002824,Census Tract 28.24; Kern County; California,0.9999999999997407,985,23,22.999999999994035,984.9999999997445,9,45000,49999,43013,4883
06029002824,Census Tract 28.24; Kern County; California,0.9999999999997407,985,89,88.99999999997692,984.9999999997445,10,50000,59999,43013,4883
06029002824,Census Tract 28.24; Kern County; California,0.9999999999997407,985,118,117.99999999996939,984.9999999997445,11,60000,74999,43013,4883
06029002824,Census Tract 28.24; Kern County; California,0.9999999999997407,985,5,4.999999999998703,984.9999999997445,12,75000,99999,43013,4883
06029002824,Census Tract 28.24; Kern County; California,0.9999999999997407,985,124,123.99999999996784,984.9999999997445,13,100000,124999,43013,4883
06029002824,Census Tract 28.24; Kern County; California,0.9999999999997407,985,44,43.99999999998859,984.9999999997445,14,125000,149999,43013,4883
06029002824,Census Tract 28.24; Kern County; California,0.9999999999997407,985,14,13.99999999999637,984.9999999997445,15,150000,199999,43013,4883
06029002824,Census Tract 28.24; Kern County; California,0.9999999999997407,985,0,0,984.9999999997445,16,200000,NA,43013,4883
06029002822,Census Tract 28.22; Kern County; California,0.9999999999999711,1121,12,11.999999999999654,1120.9999999999677,1,0,9999,126589,31352
06029002822,Census Tract 28.22; Kern County; California,0.9999999999999711,1121,0,0,1120.9999999999677,2,10000,14999,126589,31352
